iter	Passed	Remaining
0	55	55192
1	56	28080
2	57	18949
3	57	14344
4	58	11737
5	59	9886
6	60	8560
7	61	7564
8	61	6786
9	62	6167
10	62	5659
11	63	5230
12	64	4866
13	65	4580
14	65	4316
15	66	4083
16	67	3877
17	67	3693
18	68	3529
19	68	3378
20	69	3244
21	70	3123
22	70	3010
23	71	2908
24	72	2814
25	72	2726
26	73	2646
27	74	2572
28	74	2501
29	75	2436
30	76	2388
31	77	2342
32	78	2297
33	79	2251
34	80	2211
35	81	2176
36	82	2139
37	83	2105
38	84	2079
39	85	2052
40	86	2023
41	87	1989
42	87	1955
43	88	1920
44	89	1891
45	89	1860
46	90	1832
47	90	1803
48	91	1776
49	92	1751
50	92	1726
51	93	1702
52	94	1680
53	94	1658
54	95	1637
55	96	1619
56	96	1600
57	97	1582
58	98	1563
59	98	1545
60	99	1528
61	99	1511
62	100	1496
63	101	1481
64	101	1466
65	102	1451
66	103	1436
67	103	1422
68	104	1408
69	104	1394
70	105	1381
71	106	1369
72	106	1356
73	107	1345
74	108	1334
75	108	1322
76	109	1311
77	110	1301
78	110	1290
79	111	1280
80	111	1270
81	112	1259
82	113	1254
83	116	1267
84	117	1261
85	117	1251
86	118	1244
87	119	1236
88	119	1227
89	120	1219
90	121	1210
91	121	1202
92	122	1194
93	123	1186
94	123	1178
95	124	1171
96	125	1164
97	125	1156
98	126	1149
99	126	1142
100	127	1136
101	128	1129
102	128	1122
103	129	1115
104	130	1108
105	130	1102
106	131	1096
107	131	1089
108	132	1083
109	133	1077
110	133	1071
111	134	1065
112	135	1060
113	135	1055
114	136	1051
115	137	1045
116	137	1040
117	138	1034
118	138	1029
119	139	1023
120	140	1021
121	141	1018
122	142	1015
123	143	1012
124	144	1010
125	145	1006
126	146	1004
127	147	1001
128	147	998
129	148	995
130	149	992
131	150	989
132	151	985
133	151	980
134	152	976
135	153	972
136	153	968
137	154	964
138	155	960
139	155	955
140	156	952
141	156	947
142	157	943
143	158	939
144	158	935
145	159	931
146	159	926
147	160	923
148	160	919
149	161	915
150	162	911
151	162	907
152	163	904
153	163	900
154	164	896
155	165	893
156	165	889
157	166	886
158	166	883
159	167	879
160	168	875
161	168	872
162	169	869
163	169	866
164	170	862
165	171	861
166	172	859
167	172	856
168	173	853
169	174	850
170	174	847
171	175	844
172	175	841
173	176	838
174	177	835
175	177	832
176	178	829
177	178	826
178	179	823
179	180	820
180	180	818
181	181	814
182	181	812
183	182	809
184	183	806
185	183	804
186	184	801
187	184	798
188	185	796
189	186	793
190	186	791
191	187	788
192	187	785
193	188	783
194	189	782
195	190	781
196	191	779
197	191	777
